city,theatre_name,average_ticket_price,total_seats,no_screens,type,theatre_chain,lat,lon,calculated_seats,calculated_ticket_prices,calculated_screens,average_2,source_of_information,notes
Ahmedabad,"AB Miniplex: Shivranjini Cross Road, Satellite",125.6190476,302,3,Multiplex,,23.02494,72.52938,302,118,3,124,BookMyShow,
Ahmedabad,Amber Cinema: Ahmedabad,100.8333333,763,1,Single Screen,,23.03431,72.62002,763,80,1,98.75,BookMyShow,
Ahmedabad,Anupam Cinema: Ahmedabad,125.8333333,781,1,Single Screen,,23.00656,72.61333,781,80,1,121.25,BookMyShow,
Ahmedabad,"Apsara Cinema, Behrampura",,1117,1,Single Screen,,23.0039742,72.597468,,,,,MediaAnt,
Ahmedabad,"Aradhana Cinema, Behrampura",,455,1,Single Screen,,23.00396,72.5975195,,,,,MediaAnt,
Ahmedabad,Carnival: Himalaya Mall,189.0509259,1110,5,Multiplex,Carnival,23.04708,72.53093,1106,126.9333333,5,178.1166667,"BookMyShow, MediaAnt",
Ahmedabad,"Cinemax: Dev Arc, Ahmedabad",176.4351852,1047,4,Multiplex,PVR,23.02573,72.50776,1047,123.3333333,4,173.5802469,BookMyShow,
Ahmedabad,"Cinemax: Red Carpet, Ahmedabad",152.0524691,991,4,Multiplex,PVR,23.07968,72.5277,991,107.5,4,154.375,BookMyShow,
Ahmedabad,"Cinemax: Shiv, Ahmedabad",176.2777778,637,3,Multiplex,PVR,23.03188,72.57103,637,138.3333333,3,172.8125,BookMyShow,https://en.wikipedia.org/wiki/CineMAX
Ahmedabad,"Cinepolis: Alpha One Mall, Ahmedabad",197.9494949,1136,6,Multiplex,Cinepolis,23.03952,72.53199,1219,140,6,195,"BookMyShow, MediaAnt",
Ahmedabad,City Gold Satellite: Ahmedabad,156.1458333,371,4,Multiplex,City Gold,23.01568,72.52992,494,118,4,157.8333333,BookMyShow,
Ahmedabad,City Gold: Ashram Road,159.9814815,1313,5,Multiplex,City Gold,23.0319,72.56999,1287,110,5,161.6666667,"BookMyShow, MediaAnt",
Ahmedabad,City Gold: Bapunagar,101.1666667,419,4,Multiplex,City Gold,23.03743,72.61513,438,85,4,100.8695652,"BookMyShow, MediaAnt",
Ahmedabad,City Gold: Bopal,152.3571429,462,4,Multiplex,City Gold,23.02869,72.47856,462,100,4,156.8181818,BookMyShow,
Ahmedabad,City Gold: Motera,111.5,728,2,Multiplex,City Gold,23.09203,72.59319,728,90,2,104,BookMyShow,
Ahmedabad,Devi Multiplex: Naroda,94.77777778,804,3,Multiplex,,23.07253,72.64998,1536,80,3,94.58333333,"BookMyShow, MediaAnt",
Ahmedabad,"Galaxy, Station Road",,909,1,Single Screen,,23.0748037,72.6554437,,,,,MediaAnt,
Ahmedabad,"Hanjar Cinema, Gandhi Ashram",,995,1,Single Screen,,23.0263983,72.6040875,,,,,MediaAnt,
Ahmedabad,K Sera Sera: SG Highway,155.2083333,152,2,Multiplex,K Sera Sera,23.02873,72.50858,152,125,2,156.6666667,BookMyShow,
Ahmedabad,"Mira Cinema, Bhairavnath Road",,1028,1,Single Screen,,22.9972166,72.5927863,,,,,MediaAnt,
Ahmedabad,Miraj Cinemas Cine Pride: Krishna Nagar,105.5,829,4,Multiplex,Miraj Cinema,23.05369,72.64335,829,73.75,4,108.75,BookMyShow,
Ahmedabad,"Miraj Cinemas: Vitthal Plaza, New Naroda",150.4583333,372,3,Multiplex,Miraj Cinema,23.07891,72.67304,372,103.3333333,3,150,BookMyShow,http://www.indiantelevision.com/movies/hindi/miraj-cinemas-adds-four-multiplexes-in-15-days-inches-closer-to-100-plan-170428
Ahmedabad,Miraj City Pulse: Ahmedabad,158.7590909,936,4,Multiplex,Miraj Cinema,23.01467,72.5964,936,110,6,161.3043478,BookMyShow,
Ahmedabad,"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",151.2708333,404,4,Multiplex,Mukta A2,23.02655,72.50996,343,110.5,4,155.08,"BookMyShow, MediaAnt",
Ahmedabad,"PVR: Acropolis, Ahmedabad",232.1338384,1343,6,Multiplex,PVR,23.04884,72.51621,1343,157.2222222,6,231.3888889,BookMyShow,
Ahmedabad,"PVR: Arved Transcube, Ahmedabad",167.8217593,1404,7,Multiplex,PVR,23.0685,72.57602,1498,137.8571429,7,167.6086957,"BookMyShow, MediaAnt",http://www.indiainfoline.com/article/news-top-story/pvr-pvr-all-set-to-open-its-sixth-multiplex-in-ahmedabad-117012500436_1.html
Ahmedabad,"PVR: Motera, Ahmedabad",154.3333333,1102,4,Multiplex,PVR,23.10273,72.59521,1141,130,4,154.4642857,"BookMyShow, Internet Research",http://deshgujarat.com/2014/07/03/pvr-opens-another-multiplex-in-ahmedabad-at-motera/
Ahmedabad,Rajhans Cinemas: Nikol,114.5055556,741,3,Multiplex,Rajhans,23.05089,72.66758,741,70,3,119.5614035,BookMyShow,
Ahmedabad,Rajhans Cinemas: Satadhar,124.2296296,1080,4,Multiplex,Rajhans,23.06663,72.53127,1081,87.5,4,127.52,"BookMyShow, Internet Research",http://www.rajhanscinemas.com/cinema.aspx
Ahmedabad,Revolution Multiplex: Ahmedabad,148.75,423,4,Multiplex,,22.99858,72.63548,423,148.75,4,148.9333333,BookMyShow,
Ahmedabad,"Sapna Cinema, Juhapura",,1401,1,Single Screen,,22.9855719,72.500771,,,,,MediaAnt,
Ahmedabad,"Shital Cinema, Gomtipur",,350,1,Single Screen,,23.0217999,72.6105388,,,,,MediaAnt,
Ahmedabad,"Shree Balaji Agora Mall, Chandkheda",,802,4,Multiplex,,23.1144241,72.5679062,,,,,MediaAnt,
Ahmedabad,"Time Cinema: CG Road, Ahmedabad",176.4583333,372,4,Multiplex,,23.02435,72.55651,372,145,4,180,BookMyShow,http://deshgujarat.com/2016/12/28/time-cinema-brings-first-multiplex-to-cg-road-in-ahmedabad/
Ahmedabad,"Usha Talkies, Gomtipur",,550,1,Single Screen,,23.017995,72.6152555,,,,,MediaAnt,
Ahmedabad,Wide Angle: Ahmedabad,166.1531987,1400,5,Multiplex,,23.02457,72.50745,185,153.75,4,182.5555556,"BookMyShow, Internet Research",https://www.wideangleindia.co.in/AboutUs/AboutUs
Bangalore,"7D Mastii: Element Mall, Nagwara",150,18,1,Single Screen,Mastiii 7D,13.04541,77.6266,90,150,5,150,BookMyShow,
Bangalore,"7D Mastiii: Forum Value Mall, Whitefield",150,16,1,Single Screen,Mastiii 7D,12.95972,77.74778,80,150,5,150,BookMyShow,
Bangalore,"7D Voyage: Central Mall, Bellandur",180,8,1,Single Screen,7D Voyage,12.9264,77.67533,40,180,5,180,BookMyShow,
Bangalore,7D VR Voyage: Garuda Mall,190,8,1,Single Screen,7D Voyage,12.97004,77.60999,40,190,5,190,BookMyShow,
Bangalore,Abhinay Theatre: Gandhi Nagar,130,1019,1,Single Screen,,12.97354,77.57755,491,130,1,130,"BookMyShow, MediaAnt",
Bangalore,Akash Cinemas (Rajeshwari Theatre): Laggere,125,780,1,Single Screen,,13.01481,77.51611,254,125,1,125,"BookMyShow, MediaAnt",
Bangalore,Amruth Theatre: Lingarajapuram,127.5,926,1,Single Screen,,13.01244,77.62621,219,105,1,127.5,"BookMyShow, MediaAnt",
Bangalore,"Anand Theatre, No-268",,947,1,Single Screen,,13.011335,77.609965,,,,,MediaAnt,
Bangalore,Anjan Digital 4K A/C Cinema: Magadi Road,125,990,1,Single Screen,,12.97517,77.55891,97,125,1,125,"BookMyShow, MediaAnt",
Bangalore,Anupama Theatre: Gandhinagar,106.5,1032,1,Single Screen,,12.97616,77.5756,387,106.5,1,106.5,"BookMyShow, MediaAnt",
Bangalore,Aruna Theatre: Srirampuram,109,936,1,Single Screen,,12.98679,77.56722,256,109,1,109,"BookMyShow, MediaAnt",
Bangalore,"Ascendas Park Square Mall, EPIP",,779,4,Multiplex,Q Cinemas,12.987032,77.736366,,,,,MediaAnt,
Bangalore,Balaji Digital 2K Cinema: Tavarekere,120,880,1,Single Screen,,12.92554,77.60781,323,132.5,1,117.5,"BookMyShow, MediaAnt",
Bangalore,"Bharathi Chitra Mandira, Dasarahalli",,1070,1,Single Screen,,13.0415115,77.5175238,,,,,MediaAnt,
Bangalore,Bhumika Digital 2K Cinema: Gandhinagar,135,894,1,Single Screen,,12.97382,77.57964,344,135,1,135,"BookMyShow, MediaAnt",
Bangalore,Carnival: Rockline Mall,179.4444444,1011,4,Multiplex,Carnival,13.04075,77.51825,732,172.5,4,181.6666667,"BookMyShow, MediaAnt",
Bangalore,Cauvery Theatre: Sankey Road,123.3333333,1210,1,Single Screen,,13.00256,77.58328,757,123.3333333,1,123.3333333,"BookMyShow, MediaAnt",
Bangalore,Chandrodaya Digital 2K Cinema: Vidyapeeta Circle,110,960,1,Single Screen,,12.93546,77.56129,294,110,1,110,BookMyShow,
Bangalore,Cinepolis: Binnypet Mall,220.537415,1580,8,Multiplex,Cinepolis,12.96579,77.56202,1521,178.125,8,231.4285714,"BookMyShow, MediaAnt",
Bangalore,"Cinepolis: Orion East Mall, Banaswadi",244.5454545,1097,5,Multiplex,Cinepolis,13.00121,77.63265,1119,264,5,251.9230769,"BookMyShow, MediaAnt",
Bangalore,Cinepolis: Royal Meenakshi Mall,271,1344,7,Multiplex,Cinepolis,12.876,77.59582,1091,230,7,272.1621622,"BookMyShow, MediaAnt",
Bangalore,Cinesquare Savitha Theatre: Malleshwaram,133.3333333,350,1,Single Screen,,12.99296,77.57113,128,110,1,133.3333333,"BookMyShow, Internet Research",http://davp.nic.in/ufo.pdf
Bangalore,"Deepak Theatre, Mahatma Gandhi Road",,525,1,Single Screen,,12.997947,77.5405319,,,,,MediaAnt,
Bangalore,Eshwari Digital 2K Cinema: Banashankari,108.3333333,918,1,Single Screen,,12.92359,77.55344,444,125,1,115,"BookMyShow, MediaAnt",
Bangalore,Everest Digital 2K Cinema: Frazer Town,125,546,1,Single Screen,,13.00013,77.61844,243,125,1,125,"BookMyShow, MediaAnt",
Bangalore,"Fame Shankarnag Chitramandira, Mahatma Gandhi Road",,615,1,Single Screen,,12.9743036,77.6098151,,,,,MediaAnt,
Bangalore,"Fun Cinemas: Sigma Mall, Bengaluru",180.3571429,985,3,Multiplex,,12.9882,77.59477,745,145,3,179.6875,"BookMyShow, MediaAnt",http://www.indiaretailing.com/2007/10/12/retail/fun-cinemas-open-first-outlet-in-bangalore-at-sigma-mall/
Bangalore,Galaxy Paradise Screen 1: Bommanahalli Hosur Rd,160,100,1,Single Screen,,12.89108,77.62648,80,160,1,160,"BookMyShow, Internet Research",http://davp.nic.in/ufo.pdf
Bangalore,Galaxy Paradise: Screen 2,160,120,1,Single Screen,,12.89108,77.62648,100,160,1,160,"BookMyShow, Internet Research",http://davp.nic.in/ufo.pdf
Bangalore,"Ganesh Theatre, Attur",,713,1,Single Screen,,13.1001929,77.5872728,,,,,MediaAnt,
Bangalore,"Gopalan Cinemas: Arcade Mall, Mysore Road",250.3846154,1019,3,Multiplex,Gopalan Cinemas,12.93531,77.51761,1019,206.6666667,3,247.0588235,BookMyShow,
Bangalore,Gopalan Cinemas: Bannerghatta Road,261.1805556,852,3,Multiplex,Gopalan Cinemas,12.91444,77.5994,849,230,3,266.8421053,"BookMyShow, MediaAnt",
Bangalore,Gopalan Grand Mall: Old Madras Road,256.1111111,1030,4,Multiplex,Gopalan Cinemas,12.99336,77.66397,996,235,4,264.3478261,"BookMyShow, MediaAnt",
Bangalore,"Gopalan Miniplex: Signature Mall, Old Madras Road",260.3846154,157,3,Multiplex,Gopalan Cinemas,12.99299,77.66188,222,220,3,262.7777778,BookMyShow,
Bangalore,Goverdhan Theatre: Yeshwantpur,90,1064,1,Single Screen,,13.02163,77.55132,223,90,1,90,"BookMyShow, MediaAnt",
Bangalore,"Guru Siddeshwara Chitra Mandira, Anjanapura",,615,1,Single Screen,,12.8728904,77.5575757,,,,,MediaAnt,
Bangalore,HMT Digital 4K Cinema: Jalahalli,150,874,1,Single Screen,,13.0495,77.5439,107,150,1,150,BookMyShow,http://davp.nic.in/ri.pdf
Bangalore,Innovative Multiplex: Marathahalli,180,1406,4,Multiplex,,12.9519,77.69905,1406,187.5,4,186.9047619,BookMyShow,
Bangalore,"INOX Lido: Off MG Road, Ulsoor",338.4166667,1259,5,Multiplex,Inox,12.97324,77.62128,1259,271,5,338.6956522,BookMyShow,
Bangalore,INOX: Brookefield Mall,270.9259259,338,3,Multiplex,Inox,12.96623,77.71794,324,243.3333333,3,270,"BookMyShow, MediaAnt",
Bangalore,"INOX: Central, JP Nagar, Mantri Junction",343.0347222,1118,4,Multiplex,Inox,12.9164,77.59241,1057,266.25,4,337.9545455,"BookMyShow, MediaAnt",
Bangalore,"INOX: Forum Neighbourhood Mall, Whitefield",301.3636364,725,5,Multiplex,Inox,12.9595,77.74789,725,234,5,304.6428571,BookMyShow,
Bangalore,"INOX: Garuda Mall, Magrath Road",337.1212121,1103,5,Multiplex,Inox,12.97009,77.60943,1041,254,5,334.2857143,"BookMyShow, MediaAnt",
Bangalore,"INOX: Garuda Swagath Mall, Jayanagar",285.5555556,793,3,Multiplex,Inox,12.92906,77.59123,773,230,3,281.25,"BookMyShow, MediaAnt",
Bangalore,"INOX: Mantri Square, Malleshwaram",399.0611111,1497,6,Multiplex,Inox,12.99216,77.5703,1418,268,5,395.8064516,"BookMyShow, MediaAnt",
Bangalore,Kamakya Cinema: Banashankari,100,706,1,Single Screen,,12.92331,77.55334,308,100,1,100,"BookMyShow, MediaAnt",
Bangalore,Kapali Theatre: Gandhi Nagar,100,1475,1,Single Screen,,12.97791,77.57578,295,100,1,100,"BookMyShow, MediaAnt",
Bangalore,Keshava Theatre -,,809,1,Single Screen,,13.0282203,77.5538235,,,,,Internet Research,
Bangalore,Lakshmi Digital 4K Cinema: Tavarekere,132.5,900,1,Single Screen,,12.92524,77.60775,330,132.5,1,132.5,"BookMyShow, MediaAnt",
Bangalore,"Lakshmi Theatre, Dharmaram College",,900,1,Single Screen,,12.9362,77.6028377,,,,,MediaAnt,
Bangalore,"Lavanya, Sivan Chetty Gardens",,786,1,Single Screen,,12.9848012,77.6148355,,,,,MediaAnt,
Bangalore,Maheshwari Digital 4K Cinema: Bannerghatta Road,,0,0,Multiplex,,12.92339,77.59894,,,,,BookMyShow,
Bangalore,Manasa Digital 4K Dolby Atmos: Konanakunte,175,640,1,Single Screen,,12.89064,77.5622,250,175,1,175,"BookMyShow, MediaAnt",
Bangalore,"Manasa Theatre, Doddakallasandra",,640,1,Single Screen,,12.8906129,77.5622187,,,,,MediaAnt,
Bangalore,Menaka Talkies: Gandhi Nagar,130,971,1,Single Screen,,12.97314,77.57934,208,130,1,130,"BookMyShow, MediaAnt",
Bangalore,"Mohan Theatre, Magadi Main Road",,956,1,Single Screen,,12.9987083,77.5035393,,,,,MediaAnt,
Bangalore,Movie Land,,648,1,Single Screen,,12.9788182,77.5755948,,,,,Internet Research,
Bangalore,Mukunda Dolby Atmos: M S Nagar,159.375,814,1,Single Screen,,13.00325,77.63585,814,112.5,1,159.375,BookMyShow,
Bangalore,Murali Gokula Digital 4K Cinema: Mathikere,118,900,1,Single Screen,,13.03842,77.5526,206,118,1,118,"BookMyShow, MediaAnt",
Bangalore,"N Lakshmi Chitra Mandira, B G Road",,850,1,Single Screen,,12.860183,77.589458,,,,,MediaAnt,
Bangalore,"Nalanda Theatre, Mysore Road",,1090,1,Single Screen,,12.9605832,77.5578493,,,,,MediaAnt,
Bangalore,"Narendra Talkies, Arabic College",,500,1,Single Screen,,13.026733,77.62075,,,,,MediaAnt,
Bangalore,Nartaki Theatre: Gandhi Nagar,111.5,1150,1,Single Screen,,12.9743,77.57619,209,111.5,1,111.5,"BookMyShow, Internet Research",http://davp.nic.in/ri.pdf
Bangalore,Nataraj Theatre: Sheshadripuram,,1150,1,Single Screen,,12.9897863,77.5729823,,,,,Internet Research,
Bangalore,Navrang Theatre: Rajaji Nagar,90,990,1,Single Screen,,12.99784,77.5528,208,90,1,90,"BookMyShow, MediaAnt",
Bangalore,"Padma Theatre, Amruthahalli",,600,1,Single Screen,,13.0687241,77.6026388,,,,,MediaAnt,
Bangalore,Parimala Digital 2K Cinema: K.R.Market,,1112,1,Single Screen,,12.963107,77.57705,,,,,Internet Research,
Bangalore,Poornima Theatre: J.C. Road,115,934,1,Single Screen,,12.96096,77.58742,104,115,1,115,"BookMyShow, MediaAnt",
Bangalore,Pradeep Theatre: K.R.Market,,305,1,Single Screen,,12.963106,77.577049,,,,,Internet Research,
Bangalore,"Prasanna Theatre, Magadi Road",,1100,1,Single Screen,,12.9740859,77.5520529,,,,,MediaAnt,
Bangalore,Pushpanjali A/C Theatre: B.N. Pura,125,999,1,Single Screen,,12.99809,77.67521,320,125,1,125,"BookMyShow, MediaAnt",
Bangalore,"Pushpanjali Talkies, Dinnur Main Road",,1330,1,Single Screen,,13.0218949,77.6031292,,,,,MediaAnt,
Bangalore,"PVR: Arena Mahadevapura, Bengaluru",233.5353535,1084,6,Multiplex,PVR,12.97991,77.69319,1355,214.2857143,7,243.0107527,"BookMyShow, MediaAnt",
Bangalore,"PVR: Forum Gold, Bengaluru",825,32,1,Single Screen,PVR,12.93463,77.6113,32,685,1,832,BookMyShow,
Bangalore,"PVR: Forum, Bengaluru",286.9333333,1590,10,Multiplex,PVR,12.93463,77.6113,1526,261.25,8,290.7142857,"BookMyShow, MediaAnt",
Bangalore,"PVR: IMAX, VR Bengaluru, Whitefield",292,292,1,Single Screen,PVR,12.99639,77.69531,292,260,1,292,BookMyShow,
Bangalore,"PVR: Market City (4DX), Bengaluru",450,100,1,Single Screen,PVR,12.99725,77.69573,100,450,1,450,BookMyShow,
Bangalore,"PVR: Market City, Bengaluru",306.2100122,1106,9,Multiplex,PVR,12.99725,77.69573,1466,281.8518519,9,316.6269841,BookMyShow,
Bangalore,"PVR: MSR Elements Mall, Bengaluru",288.0883838,1383,7,Multiplex,PVR,13.04516,77.62658,1251,265.7142857,7,291.0185185,"BookMyShow, MediaAnt",
Bangalore,"PVR: Orion Gold, Rajajinagar",806.2962963,144,3,Single Screen,PVR,13.011,77.55509,144,580,3,788,BookMyShow,http://www.thehindubusinessline.com/companies/pvr-opens-3-gold-class-screens-at-orion-mall/article4720493.ece
Bangalore,"PVR: Orion, Rajajinagar",285.3444444,2714,8,Multiplex,PVR,13.011,77.55509,2513,231.6666667,8,286.6666667,"BookMyShow, MediaAnt",Media Ant Number  - BMS Orion Gold Number
Bangalore,"PVR: Pepsi IMAX, Koramangala",365,346,1,Single Screen,PVR,12.93455,77.61109,346,325,1,365,BookMyShow,
Bangalore,"PVR: Soul Spirit Bellandur, Bengaluru",290.8585859,1084,6,Multiplex,PVR,12.92676,77.67528,885,240,4,300.3174603,"BookMyShow, MediaAnt",
Bangalore,"PVR: Vaishnavi Sapphire Mall, Bengaluru",222.1363636,1058,6,Multiplex,PVR,13.02414,77.54897,1058,197.0833333,6,221.3709677,BookMyShow,
Bangalore,"PVR: VR Gold, Bengaluru",697.025,1,4,Multiplex,PVR,12.99651,77.69526,196,580,5,694.2105263,BookMyShow,http://economictimes.indiatimes.com/industry/media/entertainment/media/pvr-launches-9-screen-multiplex-largest-gold-class-and-imax-in-whitefield/articleshow/50355485.cms
Bangalore,"PVR: VR, Bengaluru",257.2,932,5,Multiplex,PVR,12.99651,77.69526,932,240,4,260.4761905,BookMyShow,Inference from link above
Bangalore,Radhakrishna Theatre: R.T. Nagar,125,921,1,Single Screen,,13.01337,77.59387,317,125,1,125,BookMyShow,
Bangalore,"Raja Murali Theatre, Kodigehalli Sahakar Nagar(post)",,558,1,Single Screen,,13.0605001,77.5768534,,,,,MediaAnt,
Bangalore,Rajarajeshwari Theatre: Nagarbhavi Circle,90,1080,1,Single Screen,,12.95695,77.50206,140,90,1,90,"BookMyShow, MediaAnt",
Bangalore,"Ranganatha Theatre, Mysore Road",,410,1,Single Screen,,12.9632206,77.5663842,,,,,MediaAnt,
Bangalore,Ravi Digital 2K Cinema: Ejipura,109,820,1,Single Screen,,12.95124,77.62217,256,109,1,109,"BookMyShow, Internet Research",
Bangalore,Rex Theatre: Brigade Road,185,707,1,Single Screen,,12.97262,77.60663,707,160,1,187.5,BookMyShow,
Bangalore,"Robin Theatre, Chudenapura",,850,1,Single Screen,,12.9160026,77.479051,,,,,MediaAnt,
Bangalore,Sampige Digital 2k Cinema: Malleshwaram,150,1129,1,Single Screen,,12.99307,77.5711,178,150,1,150,"BookMyShow, MediaAnt",
Bangalore,Sandeep Theatre: Shivaji Nagar,90,309,1,Single Screen,,12.98161,77.60294,117,90,1,90,"BookMyShow, MediaAnt",
Bangalore,Sandhya Digital 4K Projection Dolby Atmos: Madiwal,125,720,1,Single Screen,,12.92101,77.61794,305,125,1,125,"BookMyShow, MediaAnt",
Bangalore,Sangeet Theatre: Shivaji Nagar,115,860,1,Single Screen,,12.98161,77.60294,110,115,1,115,"BookMyShow, MediaAnt",
Bangalore,Santosh Theatre: Gandhinagar,106,680,1,Single Screen,,12.97484,77.57638,71,106,1,106,"BookMyShow, MediaAnt",
Bangalore,Sapna Theatre: Gandhi Nagar,95,345,1,Single Screen,,12.9743,77.57619,108,95,1,95,"BookMyShow, MediaAnt",
Bangalore,Sharada Cinemas A/C: S.P Road,109,680,1,Single Screen,,12.96528,77.58471,330,109,1,109,"BookMyShow, MediaAnt",
